make,model,production_starting_year,production_ending_year,vehicle_size,vehicle_type,vehicle_class
Ford,Crown Victoria,1999,2011,Full-size,,Car
Ford,EcoSport,2003,-,Subcompact,,SUV
Ford,Edge,2007,-,Mid-size,,CUV
Ford,Endura,2018,-,Mid-size,,SUV
Ford,Equator,2021,-,Mid-size,,CUV
Ford,Escape,2001,-,Compact,,CUV
Ford,Excursion,1999,2005,Full-size,,SUV
Ford,Expedition,1998,-,Full-size,,SUV
Ford,Explorer,1995,-,Mid-size,,CUV
Ford,Explorer Sport Trac,2007,2010,Mid-size,,CUV
Ford,E-Transit,2022,-,Full-size,Electric,Van
Ford,F-150,1997,-,Full-size,,Pickup Truck
Ford,F-250,2011,-,Heavy Duty,,Pickup Truck
Ford,F-350,2017,-,Heavy Duty,,Pickup Truck
Ford,Falcon,2005,-,Full-size,,Car
Ford,Fiesta,2002,-,Subcompact,,Hatchback
Ford,Five Hundred,2005,2007,Full-size,,Car
Ford,Flex,2008,2019,Full-size,,CUV
Ford,Focus,1998,-,Compact,,Car
Ford,Focus Active,2018,-,Compact,,Hatchback
Ford,Focus Electric,2012,2018,Compact,Electric,Car
Ford,Freestar,2003,2009,Full-size,,Minivan
Ford,Freestyle,2004,2007,Full-size,,CUV
Ford,Fusion,2002,2012,Mid-size,,Car
Ford,Galaxy,1995,-,Full-size,,Minivan
Ford,GT,2004,2006,Mid-size,Luxury,Supercar
Ford,Ka,2003,2021,Subcompact,,Car
Ford,Kuga,2008,-,Compact,,CUV
Ford,Lightning,2022,-,Full-size,Electric,Pickup Truck
Ford,Maverick,1992,2009,Mid-size,,Pickup Truck
Ford,Mondeo,2000,-,Full-size,,Wagon
Ford,Mustang,1995,-,Mid-size,,Pony Car
Ford,Mustang Mach-E,2020,-,Mid-size,Electric,CUV
Ford,Mustang Shelby GT350,2016,-,Mid-size,Luxury,Supercar
Ford,Mustang Shelby GT500,2020,-,Mid-size,Luxury,Supercar
Ford,Puma,1997,-,Subcompact,,CUV
Ford,Ranger,2006,-,Mid-size,,Pickup Truck
Ford,S-Max,2006,-,Compact,,Car
Ford,Taurus,2000,-,Full-size,,Car
Ford,Taurus X,2007,2009,Full-size,,Car
Ford,Thunderbird,2000,2006,Compact,,Sports Car
Ford,Tourneo Connect,2002,-,Compact,,Van
Ford,Transit,2001,-,Full-Size,,Van
Ford,Transit Connect,2002,-,Compact,,Van
Foton,Sauvana,2015,-,Mid-size,,SUV
GAC,GS5,2011,-,Compact,,CUV
GAC,Trumpchi GM8,2018,-,Full-size,,Minivan
GAC,Trumpchi GS8,2017,-,Mid-size,,CUV
GAZ,Volga 3102,1997,2009,Compact,,Car
GAZ,Volga 31105,1997,2009,Compact,,Car
GAZ,Volga Siber,2008,2010,Mid-size,,Car
GAZ,Sobol,2002,-,Full-Size,,Van
Geely,Atlas,2017,-,Compact,,CUV
Geely,Coolray,2018,-,Compact,,CUV
Geely,Emgrand 7,2016,-,Compact,,Car
Geely,Emgrand EC7,2009,2017,Compact,,Car
Geely,Emgrand GS,2016,-,Compact,,CUV
Geely,Emgrand X7,2011,-,Compact,,CUV
Geely,GC9,2015,2019,Mid-size,,Car
Geely,GС6,2014,2016,Compact,,Car
Geely,MK,2008,2019,Compact,,Car
Geely,Otaka,2006,2009,Compact,,Car
Geely,Tugella,2019,-,Compact,,CUV
Geely,Vision,2006,2013,Compact,,CUV
Genesis,G70,2018,-,Compact,Luxury,Car
Genesis,G80,2017,-,Mid-size,Luxury,Car
Genesis,G90,2016,-,Full-size,Luxury,Car
Genesis,GV70,2020,-,Mid-size,Luxury,SUV
Genesis,GV80,2020,-,Mid-size,Luxury,SUV
GMC,Acadia,2007,-,Mid-size,,CUV
GMC,Canyon,2004,-,Mid-size,,Pickup Truck
GMC,Envoy,2001,2009,Mid-size,,SUV
GMC,Hummer EV,2022,-,Full-size,Electric,SUV
GMC,Hummer EV,2022,-,Full-size,Electric,Pickup Truck
GMC,Sierra 1500,1999,-,Full-size,,Pickup Truck
GMC,Sierra 2500,1999,-,Heavy Duty,,Pickup Truck
GMC,Sierra 3500,2020,-,Heavy Duty,,Pickup Truck
GMC,Terrain,2010,-,Mid-size,,CUV
GMC,Yukon,2000,-,Full-size,,SUV
GMC,Yukon XL,2000,-,Full-size,,SUV
Great Wall,Cowry,2007,2014,Full-size,,Minivan
Great Wall,Deer,2003,2013,Heavy Duty,,Pickup Truck
Great Wall,Hover,2005,-,Mid-size,,CUV
Great Wall,Hover M2,2010,2014,Mid-size,,CUV
Great Wall,Pegasus,2005,2007,Full-size,,SUV
Great Wall,Peri,2007,2015,Subcompact,,Hatchback
Great Wall,Safe,2002,2010,Mid-size,,SUV
Great Wall,Sailor,2004,2012,Full-size,,Pickup Truck
Great Wall,Sing,2004,2012,Full-size,,SUV
Great Wall,Socool,2004,2012,Full-size,,Pickup Truck
Great Wall,Wingle,2008,-,Full-size,,Pickup Truck
Haval,F7,2018,-,Compact,,SUV
Haval,F7x,2019,-,Compact,,SUV
Haval,H4,2018,-,Compact,,CUV
Haval,H6,2017,-,Compact,,CUV
Haval,H9,2015,-,Full-size,,SUV
Holden,Commodore,2004,2017,Full-size,,Car
Holden,Corvette C8,2020,-,Mid-size,,Sports Car
Honda,Accord,1998,-,Mid-size,,Car
Honda,Amaze,2011,-,Subcompact,,Car
Honda,City,2014,-,Subcompact,,Car
Honda,Civic,2001,-,Compact,,Car
Honda,Civic Type R,2017,-,Compact,,Car
Honda,CR-V,1995,-,Mid-size,,CUV
Honda,CR-Z,2010,2016,Compact,,Coupe
Honda,Crosstour,2010,2015,Full-size,,Car
Honda,Element,2003,2011,Compact,,CUV
Honda,Fit,2001,-,Subcompact,,Hatchback
Honda,FR-V,2004,2009,Compact,,Minivan
Honda,HR-V,1998,2006,Subcompact,,CUV
Honda,HR-V II (GJ),2014,-,Subcompact,,CUV
Honda,Insight,1999,2014,Compact,,Car
Honda,Jade,2013,-,Compact,,Minivan
Honda,Jazz,2001,-,Subcompact,,Hatchback
Honda,Legend,2006,-,Mid-size,Luxury,Car
Honda,NSX,1991,2005,Compact,Luxury,Supercar
Honda,NSX MKII,2016,-,Compact,Luxury,Supercar
Honda,Odyssey,1999,-,Full-size,,Minivan
Honda,Pilot,2002,-,Mid-size,,CUV
Honda,Prelude,1996,2001,Compact,,Sports Car
Honda,Ridgeline,2005,2014,Mid-size,,Pickup Truck
Honda,Ridgeline,2017,-,Mid-size,,Pickup Truck
Honda,S2000,1999,2009,Compact,,Sports Car
Honda,Shuttle,1994,2002,Subcompact,,Wagon
Honda,Fit Shuttle hybrid,2011,2015,Subcompact,,Wagon
Honda,Stream,2001,2015,Compact,,Minivan
Honda,Vezel,2013,-,Subcompact,,CUV
Hummer,H1,1992,2006,Full-size,,Pickup Truck
Hummer,H2,2003,2010,Mid-size,,Pickup Truck
Hummer,H3,2005,2010,Mid-size,,Pickup Truck
Hyundai,Accent,2000,-,Subcompact,,Car
Hyundai,Atos Prime,1999,2014,Subcompact,,Hatchback
Hyundai,Azera,2006,2011,Mid-size,,Car
Hyundai,Bayon,2021,-,Subcompact,,CUV
Hyundai,Centennial,1999,2008,Full-size,Luxury,Car
Hyundai,Creta,2015,-,Subcompact,,CUV
Hyundai,Elantra,2000,-,Compact,,Car
Hyundai,Entourage,2007,2007,Full-size,,Minivan
Hyundai,Eon,2011,-,Subcompact,,Hatchback
Hyundai,Equus,2009,2016,Full-size,Luxury,Car
Hyundai,Galloper,1998,2003,Full-size,,SUV
Hyundai,Genesis,2008,2016,Full-size,Luxury,Car
Hyundai,Genesis Coupe,2008,2016,Mid-size,,Sports Car
Hyundai,Getz,2002,2011,Subcompact,,Hatchback
Hyundai,Grandeur,2005,-,Full-size,Luxury,Car
Hyundai,H-1,1998,-,Full-Size,,Van
Hyundai,i10,2008,-,Subcompact,,Hatchback
Hyundai,i20,2008,-,Subcompact,,Hatchback
Hyundai,i30,2007,-,Compact,,Hatchback
Hyundai,i30 N,2017,-,Compact,,Hatchback
Hyundai,i40,2011,-,Mid-size,,Car
Hyundai,Ioniq,2016,-,Compact,Electric,Car
Hyundai,Ioniq 5,2021,-,Compact,Electric,CUV
Hyundai,ix20,2010,-,Subcompact,,Minivan
Hyundai,ix35,2010,-,Compact,,CUV
Hyundai,Kona,2017,-,Subcompact,,CUV
Hyundai,Kona Electric,2019,-,Subcompact,Electric,CUV
Hyundai,Matrix,2001,2014,Compact,,Minivan
Hyundai,Palisade,2018,-,Full-size,,SUV
Hyundai,Porter,1996,-,Heavy Duty,,Pickup Truck
Hyundai,Santa Fe,2001,-,Mid-size,,CUV
Hyundai,Solaris,2010,-,Compact,,Car
Hyundai,Sonata,1998,-,Mid-size,,Car
Hyundai,Terracan,2001,2007,Mid-size,,SUV
Hyundai,Trajet,2000,2008,Full-size,,Minivan
Hyundai,Tucson,2004,-,Compact,,CUV
Hyundai,Veloster,2011,-,Compact,,Coupe
Hyundai,Venue,2019,-,Subcompact,,CUV
Hyundai,Veracruz,2007,2015,Mid-size,,CUV
Hyundai,Verna,2005,2011,Subcompact,,Car
Hyundai,Xcent,2014,-,Subcompact,,Car
Hyundai,XG,1998,2005,Mid-size,Luxury,Car
Infiniti,EX,2008,2014,Compact,Luxury,CUV
Infiniti,FX,2003,2013,Mid-size,Luxury,CUV
Infiniti,G35,2003,2014,Compact,Luxury,Coupe
Infiniti,G35,2003,2014,Mid-size,Luxury,Car
Infiniti,G37,2009,2014,Compact,Luxury,Coupe
Infiniti,G37,2009,2014,Mid-size,Luxury,Car
Infiniti,I35,2002,2004,Mid-size,Luxury,Car
Infiniti,JX,2012,2013,Mid-size,Luxury,CUV
Infiniti,M,2001,2013,Mid-size,Luxury,Car
Infiniti,Q30,2016,-,Subcompact,Luxury,CUV
Infiniti,Q40,2014,2015,Mid-size,Luxury,Car
Infiniti,Q45,2002,2007,Full-size,Luxury,Car
Infiniti,Q50,2013,-,Compact,Luxury,Car
Infiniti,Q60,2013,-,Compact,Luxury,Coupe
Infiniti,Q70,2013,-,Mid-size,Luxury,Car
Infiniti,QX30,2016,-,Subcompact,Luxury,CUV
Infiniti,QX4,1997,2003,Mid-size,Luxury,SUV
Infiniti,QX50,2013,-,Compact,Luxury,CUV
Infiniti,QX55,2021,-,Compact,Luxury,SUV
Infiniti,QX56,2004,2013,Full-size,Luxury,SUV
Infiniti,QX60,2013,-,Mid-size,Luxury,CUV
Infiniti,QX70,2013,2017,Mid-size,Luxury,CUV
Infiniti,QX80,2013,-,Full-size,Luxury,SUV
Isuzu,Ascender,2002,2008,Mid-size,,SUV
Isuzu,Axiom,2002,2004,Mid-size,,SUV
Isuzu,D-Max,2011,-,Compact,,Pickup Truck
Isuzu,D-Max Rodeo,2007,2007,Compact,,Pickup Truck
Isuzu,I280,2005,2006,Mid-size,,Pickup Truck
Isuzu,I290,2007,2007,Mid-size,,Pickup Truck
Isuzu,I350,2005,2006,Mid-size,,Pickup Truck
Isuzu,I370,2007,2007,Mid-size,,Pickup Truck
Isuzu,Rodeo,1998,2004,Mid-size,,SUV
Isuzu,Trooper,1992,2002,Mid-size,,SUV
Isuzu,VehiCross,1997,2001,Subcompact,,SUV
Iveco,Daily,2006,-,Full-Size,,Van
Jac,iEV7S,2017,-,Subcompact,Electric,CUV
Jac,T6,2015,-,Mid-size,,Pickup Truck
Jaguar,E-Pace,2017,-,Subcompact,Luxury,CUV
Jaguar,F-Pace,2015,-,Compact,Luxury,CUV
Jaguar,F-Type,2013,-,Compact,Luxury,Supercar
Jaguar,I-Pace,2018,-,Compact,Electric Luxury,CUV
Jaguar,S-Type,1998,2008,Mid-size,Luxury,Car
Jaguar,X-Type,2001,2009,Compact,Luxury,Car
Jaguar,XE,2015,-,Compact,Luxury,Car
Jaguar,XF,2007,-,Mid-size,Luxury,Car
Jaguar,XJ,1997,-,Full-size,Luxury,Car
Jaguar,XK/XKR,2002,2015,Compact,Luxury,Grand Tourer
Jeep,Cherokee,1984,2012,Compact,,SUV
Jeep,Cherokee,2013,-,Compact,,CUV
Jeep,Commander,2006,2010,Mid-size,,SUV
Jeep,Compass,2007,-,Compact,,CUV
Jeep,Gladiator,2019,-,Mid-size,,Pickup Truck
Jeep,Grand Cherokee,1999,-,Mid-size,,SUV
Jeep,Liberty,2006,2013,Compact,,SUV
Jeep,Patriot,2006,2016,Compact,,CUV
Jeep,Renegade,2014,-,Subcompact,,CUV
Jeep,Wrangler (2 door),1997,-,Compact,,SUV
Jeep,Wrangler (4 door),1997,-,Mid-size,,SUV
Kia,Carens,2002,2018,Compact,,Minivan
Kia,Carnival,1999,-,Full-size,,Minivan
Kia,Ceed,2006,-,Compact,,Hatchback
Kia,Cerato,2004,-,Compact,,Car
Kia,Clarus,1998,2001,Mid-size,,Car
Kia,Forte,2008,-,Compact,,Car
Kia,EV6,2022,-,Compact,,CUV
Kia,K5,2020,-,Mid-size,,Car
Kia,K8,2021,-,Full-size,,Car
Kia,K900,2019,-,Full-size,,Car
Kia,Magentis,2001,2010,Mid-size,,Car
Kia,Mohave,2008,-,Mid-size,,SUV
Kia,Niro,2016,-,Compact,,CUV
Kia,Niro EV,2019,-,Compact,Electric,CUV
Kia,Opirus,2003,2010,Full-size,Luxury,Car
Kia,Optima,2010,2020,Mid-size,,Car
Kia,Picanto,2004,-,Subcompact,,Hatchback
Kia,ProCeed,2019,-,Compact,,Wagon
Kia,Quoris,2012,2018,Full-size,Luxury,Car
Kia,Ray,2011,-,Subcompact,,Hatchback
Kia,Rio,2000,-,Subcompact,,Car
Kia,Rio X-Line,2017,-,Compact,,CUV
Kia,Seltos,2019,-,Subcompact,,CUV
Kia,Shuma,1997,2005,Compact,,Car
Kia,Sonet,2020,-,Subcompact,,CUV
Kia,Sorento,2002,-,Mid-size,,CUV
Kia,Sorento Prime,2015,-,Mid-size,,CUV
Kia,Soul,2009,-,Subcompact,,CUV
Kia,Soul EV,2015,-,Subcompact,Electric,CUV
Kia,Spectra,2005,2009,Compact,,Car
Kia,Sportage,1993,-,Compact,,CUV
Kia,Stinger,2017,-,Mid-size,,Car
Kia,Stonic,2017,-,Subcompact,,CUV
Kia,Telluride,2019,-,Mid-size,,CUV
Kia,Venga,2009,2019,Subcompact,,Minivan
Lamborghini,Aventador,2011,-,Compact,Luxury,Supercar
Lamborghini,Centenario,2016,2017,Compact,Luxury,Hypercar
Lamborghini,Diablo,1991,2001,Compact,Luxury,Supercar
Lamborghini,Gallardo,2003,2014,Compact,Luxury,Supercar
Lamborghini,Huracan,2014,-,Compact,Luxury,Supercar
Lamborghini,Murcielago,2003,2010,Compact,Luxury,Supercar
Lamborghini,Reventon,2008,2008,Compact,Luxury,Hypercar
Lamborghini,Urus,2018,-,Compact,,SUV
Lancia,Delta,2008,-,Compact,,Hatchback
Lancia,Lybra,1999,2007,Compact,Luxury,Car
Lancia,Musa,2004,2012,Subcompact,,Minivan
Lancia,Phedra,2002,2010,Full-size,,Minivan
Lancia,Thema,2011,-,Mid-size,Luxury,Car
Lancia,Thesis,2001,2009,Full-size,Luxury,Car
Lancia,Ypsilon,2003,-,Subcompact,,Hatchback
Land Rover,Defender,2007,-,Mid-size,Luxury,SUV
Land Rover,Discovery,1998,-,Mid-size,Luxury,CUV
Land Rover,Discovery Sport,2014,-,Mid-size,Luxury,CUV
Land Rover,Evoque,2011,-,Compact,Luxury,SUV
Land Rover,Freelander,1998,2014,Compact,Luxury,CUV
Land Rover,Range Rover,1994,-,Mid-size,Luxury,SUV
Land Rover,Range Rover Sport,2004,-,Mid-size,Luxury,CUV
Land Rover,Range Rover Velar,2017,-,Compact,Luxury,CUV
Lexus,CT,2010,-,Subcompact,Luxury,Car
Lexus,ES,2001,-,Mid-size,Luxury,Car
Lexus,GS,1997,-,Mid-size,Luxury,Car
Lexus,GX,2002,-,Full-size,Luxury,SUV
Lexus,HS,2009,2014,Compact,Luxury,Car
Lexus,IS,1998,-,Compact,Luxury,Car
Lexus,LC,2017,-,Compact,Luxury,Grand Tourer
Lexus,LFA,2010,2012,Compact,Luxury,Supercar
Lexus,LM,2019,-,Full-size,Luxury,Minivan
Lexus,LS,1995,-,Full-size,Luxury,Car
Lexus,LX,1998,-,Full-size,Luxury,SUV
Lexus,NX,2014,-,Compact,Luxury,CUV
Lexus,RC,2014,-,Compact,Luxury,Coupe
Lexus,RX,1997,-,Mid-size,Luxury,CUV
Lexus,SC,1999,2010,Compact,Luxury,Grand Tourer
Lexus,UX,2018,-,Subcompact,Luxury,CUV
Lifan,Breez,2007,2012,Compact,,Car
Lifan,Cebrium,2013,2017,Mid-size,,Car
Lifan,Celliya,2013,2016,Mid-size,,Car
Lifan,Smily,2008,-,Subcompact,,Car
Lifan,Solano,2008,-,Compact,,Car
Lifan,X50,2014,-,Subcompact,,CUV
Lifan,X60,2011,-,Compact,,CUV
Lincoln,Aviator,2003,-,Mid-size,Luxury,SUV
Lincoln,Corsair,2019,-,Compact,Luxury,SUV
Lincoln,Mark LT,2006,2007,Full-size,Luxury,Pickup Truck
Lincoln,MKC,2014,-,Compact,Luxury,CUV
Lincoln,MKS,2008,2016,Full-size,Luxury,Car
Lincoln,MKT,2009,-,Mid-size,Luxury,CUV
Lincoln,MKX,2006,-,Mid-size,Luxury,CUV
Lincoln,MKZ,2006,-,Mid-size,Luxury,Car
Lincoln,Nautilus,2019,-,Mid-size,Luxury,SUV
Lincoln,Navigator,1997,-,Full-size,Luxury,SUV
Lincoln,Town Car,1998,2011,Full-size,Luxury,Car
Lincoln,Zephyr,2006,2006,Mid-size,Luxury,Car
Lotus,Elise,2001,-,Compact,,Sports Car
Lotus,Europa S,2005,2010,Compact,,Sports Car
Lotus,Evora,2009,-,Compact,,Sports Car
Lotus,Exige,2001,-,Compact,,Sports Car
Marussia,B1,2008,2014,Compact,,Sports Car
Marussia,B2,2010,2014,Compact,,Sports Car
Maserati,3200 GT,1998,2002,Compact,Luxury,Grand Tourer
Maserati,Ghibli,2013,-,Mid-size,Luxury,Supercar
Maserati,Gran Cabrio,2010,-,Compact,Luxury,Grand Tourer
Maserati,Gran Turismo ,2007,-,Compact,Luxury,Grand Tourer
Maserati,Gran Turismo S,2008,2012,Compact,Luxury,Grand Tourer
Maserati,Levante,2016,-,Mid-size,Luxury,SUV
Maserati,Quattroporte,2003,-,Full-size,Luxury,Car
Maserati,Quattroporte S,2007,2012,Full-size,Luxury,Car
Maybach,57,2002,2012,Full-size,Luxury,Car
Maybach,57 S,2007,2012,Full-size,Luxury,Car
Maybach,62,2002,2012,Full-size,Luxury,Car
Maybach,62 S,2007,2012,Full-size,Luxury,Car
Maybach,Landaulet,2003,2012,Full-size,Luxury,Car
Mazda,2,2003,-,Subcompact,,Hatchback
Mazda,3,2003,-,Compact,,Car
Mazda,323,1998,2003,Compact,,Car
Mazda,5,2005,2015,Compact,,Minivan
Mazda,6,2002,-,Mid-size,,Car
Mazda,626,1997,2001,Mid-size,,Car
Mazda,B-Series,1999,2006,Compact,,Pickup Truck
Mazda,BT-50,2011,-,Compact,,Pickup Truck
Mazda,CX-3,2015,-,Subcompact,,CUV
Mazda,CX-30,2019,-,Subcompact,,CUV
Mazda,CX-5,2012,-,Compact,,CUV
Mazda,CX-7,2006,2012,Mid-size,,CUV
Mazda,CX-8,2017,-,Mid-size,,CUV
Mazda,CX-9,2007,-,Mid-size,,CUV
Mazda,Minivan,1999,2016,Full-size,,Minivan
Mazda,MX-30,2020,-,Subcompact,,CUV
Mazda,MX-30 EV,2020,-,Subcompact,Electric,CUV
Mazda,MX-5,1998,-,Compact,,Sports Car
Mazda,Premacy,1999,2006,Compact,,Minivan
Mazda,RX-7,1992,2002,Compact,,Sports Car
Mazda,RX-8,2003,2012,Compact,,Sports Car
Mazda,Tribute,2000,2011,Compact,,CUV
McLaren,540C,2015,-,Compact,Luxury,Supercar
McLaren,570S,2015,-,Compact,Luxury,Supercar
McLaren,600LT,2018,-,Compact,,Sports Car
McLaren,650S,2014,2017,Compact,,Sports Car
McLaren,675LT,2015,2017,Compact,,Sports Car
McLaren,720S,2017,-,Compact,Luxury,Supercar
McLaren,765LT,2020,-,Compact,,Sports Car
McLaren,MP4-12C,2011,2014,Compact,,Sports Car
McLaren,P1,2013,2016,Compact,Luxury,Hypercar
Mercedes,A-class,1997,-,Compact,Luxury,Car
Mercedes,AMG GT,2014,-,Compact,,Sports Car
Mercedes,AMG GT 4-Door,2018,-,Mid-size,Luxury,Car
Mercedes,B-class,2005,-,Compact,Luxury,Minivan
Mercedes,B-class EV,2005,-,Compact,Electric Luxury,Minivan
Mercedes,C-class,1997,-,Mid-size,Luxury,Car
Mercedes,C-class Sport Coupe,2001,2007,
Mercedes,Citan,2012,-,Mid-size,Luxury,Minivan
Mercedes,CL-class,1992,2014,Mid-size,Luxury,Car
Mercedes,CLA-class,2013,-,Compact,Luxury,Car
Mercedes,CLC-class ,2008,2011,Compact,Luxury,Car
Mercedes,CLK-class,1997,2010,Mid-size,Luxury,Coupe
Mercedes,CLS-class,2004,-,Full-size,Luxury,Car
Mercedes,E-class,1995,-,Mid-size,Luxury,Car
Mercedes,E-class Coupe,2017,-,Mid-size,Luxury,Coupe
Mercedes,EQA,2021,-,Compact,Electric Luxury,CUV
Mercedes,EQC,2019,-,Compact,Electric Luxury,CUV
Mercedes,EQS,2021,-,Mid-size,Electric Luxury,Car
Mercedes,EQV,2021,-,Full-size,Electric Luxury,Minivan
Mercedes,G-class,1996,-,Mid-size,Luxury Off-road,SUV
Mercedes,GL-class,2006,2015,Full-size,Luxury,CUV
Mercedes,GLA-class,2013,-,Subcompact,Luxury,CUV
Mercedes,GLB-class,2019,-,Compact,Luxury,CUV
Mercedes,GLC-class,2015,-,Compact,Luxury,CUV
Mercedes,GLC-class Coupe,2016,-,Compact,Luxury,CUV
Mercedes,GLE-class,2015,-,Mid-size,Luxury,CUV
Mercedes,GLE-class Coupe,2015,-,Compact,Luxury,CUV
Mercedes,GLK-class,2008,2015,Compact,Luxury,CUV
Mercedes,GLS-class,2015,-,Full-size,Luxury,CUV
Mercedes,M-class,1997,-,Mid-size,Luxury,SUV
Mercedes,R-class,2005,2012,Full-size,Luxury,Minivan
Mercedes,S-class,1990,-,Full-size,Luxury,Car
Mercedes,S-class Cabrio,2015,-,Mid-size,Luxury,Grand Tourer
Mercedes,S-class Coupe,2015,-,Mid-size,Luxury,Grand Tourer
Mercedes,SL-class,2001,-,Mid-size,Luxury,Grand Tourer
Mercedes,SLC-class,2018,-,Compact,Luxury,Coupe
Mercedes,SLK-class,1996,-,Compact,,Sports Car
Mercedes,SLR-class,2003,2010,Compact,Luxury,Grand Tourer
Mercedes,SLS AMG,2010,2014,Compact,Luxury,Supercar
Mercedes,Sprinter,2000,-,Full-size,,Van
Mercedes,Vaneo,2001,2006,Compact,Luxury,Minivan
Mercedes,Viano,2003,-,Mid-size,,Van
Mercedes,Vito,1999,2003,Mid-size,,Van
Mercedes,X-class,2018,-,Mid-size,Luxury,Pickup Truck
Mercury,Grand Marquis,2003,2011,Full-size,,Car
Mercury,Mariner,2005,2007,Compact,,CUV
Mercury,Milan,2006,2011,Mid-size,,Car
Mercury,Montego,2004,2007,Mid-size,,Car
Mercury,Monterey,1991,2007,Full-size,,Minivan
Mercury,Mountaineer,2003,2010,Mid-size,Luxury,SUV
Mercury,Sable,1995,2005,Mid-size,,Car
MG,TF,2002,2011,Compact,,Roadster
MG,XPower SV,2003,2008,Compact,,Sports Car
